                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.66164,                0.47547,                0.95484,                0.89683,                0.53333,                0.64541,                0.36434,                 1.6834,                 1.3078,                 1.7047,             0.00063554,             0.00063554,             0.00063554
                    127,                0.63539,                0.47457,                0.93556,                0.92499,                0.58165,                0.73351,                0.37917,                 1.6547,                 1.2911,                 1.6783,             0.00062729,             0.00062729,             0.00062729
                    128,                0.64257,                0.44172,                0.93109,                0.88149,                0.55833,                 0.7167,                0.35889,                 1.6626,                 1.3243,                 1.6921,             0.00061904,             0.00061904,             0.00061904
                    129,                0.65439,                0.50237,                0.95418,                 0.5573,                0.74145,                0.70768,                0.36084,                 1.6717,                 1.3823,                 1.7072,             0.00061079,             0.00061079,             0.00061079
                    130,                0.64482,                0.45358,                0.94297,                0.81734,                 0.5096,                0.69226,                0.34745,                  1.666,                 1.4241,                 1.7098,             0.00060254,             0.00060254,             0.00060254
                    131,                 0.6109,                0.44968,                0.93748,                0.59822,                0.72772,                0.68649,                 0.3417,                 1.6814,                 1.4576,                 1.7389,             0.00059429,             0.00059429,             0.00059429
                    132,                0.60079,                0.44052,                0.91959,                0.55115,                 0.6265,                0.64183,                0.31558,                 1.7435,                 1.5832,                 1.8106,             0.00058603,             0.00058603,             0.00058603
                    133,                0.65307,                0.45838,                0.94254,                0.52962,                0.61622,                0.62966,                0.30089,                 1.7236,                 1.6667,                 1.7894,             0.00057778,             0.00057778,             0.00057778
                    134,                0.67951,                0.47186,                0.93086,                0.51082,                0.58214,                0.61493,                0.30855,                 1.6414,                 1.7196,                 1.7001,             0.00056953,             0.00056953,             0.00056953
                    135,                0.61484,                0.47811,                0.94248,                0.51374,                0.56659,                0.62142,                0.34364,                 1.5278,                 1.7157,                    1.6,             0.00056128,             0.00056128,             0.00056128
                    136,                0.61062,                0.43366,                0.92624,                0.52818,                0.63214,                0.61536,                0.34258,                 1.4876,                 1.6771,                 1.5524,             0.00055303,             0.00055303,             0.00055303
                    137,                0.60196,                0.43339,                0.93223,                0.54479,                0.65257,                 0.6223,                0.33886,                 1.5128,                 1.6459,                  1.579,             0.00054478,             0.00054478,             0.00054478
                    138,                0.59479,                0.43135,                0.90057,                0.54795,                0.63214,                0.64312,                0.34901,                 1.5051,                 1.5922,                 1.5841,             0.00053652,             0.00053652,             0.00053652
